engine,budget,canonical_median_us,legacy_median_us,canonical_mean_us,legacy_mean_us,canonical_n_pairs,legacy_n_pairs,canonical_peak_memory_gib,legacy_peak_memory_gib
Cosmadakis,1.0,125.0,127.0,125.0,127.0,1.0,1.0,0.015,0.017
Cosmadakis,2.0,173.0,281.0,173.0,281.0,1.0,1.0,0.015,0.017
Cosmadakis,3.0,285.0,626.0,285.0,626.0,1.0,1.0,0.015,0.017
Cosmadakis,4.0,548.0,1433.0,548.0,1433.0,1.0,1.0,0.015,0.017
Cosmadakis,5.0,927.0,3331.0,927.0,3331.0,1.0,1.0,0.015,0.017
Cosmadakis,6.0,1780.0,7808.0,1780.0,7808.0,1.0,1.0,0.015,0.017
Cosmadakis,7.0,3497.0,17424.0,3497.0,17424.0,1.0,1.0,0.015,0.017
Cosmadakis,8.0,5594.0,31162.0,5594.0,31162.0,1.0,1.0,0.015,0.017
Cosmadakis,9.0,8614.0,75623.0,8614.0,75623.0,1.0,1.0,0.015,0.017
Cosmadakis,10.0,12832.0,181161.0,12832.0,181161.0,1.0,1.0,0.015,0.053
Cosmadakis,11.0,24250.0,632349.0,24250.0,632349.0,1.0,1.0,0.022,0.196
Cosmadakis,12.0,73983.0,3242803.0,73983.0,3242803.0,1.0,1.0,0.072,0.763
Cosmadakis,13.0,249024.0,15869401.0,249024.0,15869401.0,1.0,1.0,0.266,3.023
Cosmadakis,14.0,743314.0,66286527.0,743314.0,66286527.0,1.0,1.0,1.030,12.044
Freese,1.0,22.0,7.0,22.0,7.0,1.0,1.0,0.015,0.017
Freese,2.0,49.0,13.0,49.0,13.0,1.0,1.0,0.015,0.017
Freese,3.0,145.0,35.0,145.0,35.0,1.0,1.0,0.015,0.017
Freese,4.0,694.0,114.0,694.0,114.0,1.0,1.0,0.015,0.017
Freese,5.0,1898.0,422.0,1898.0,422.0,1.0,1.0,0.015,0.017
Freese,6.0,7094.0,1653.0,7094.0,1653.0,1.0,1.0,0.015,0.017
Freese,7.0,21838.0,6549.0,21838.0,6549.0,1.0,1.0,0.015,0.017
Freese,8.0,64730.0,20908.0,64730.0,20908.0,1.0,1.0,0.015,0.017
Freese,9.0,190778.0,43180.0,190778.0,43180.0,1.0,1.0,0.015,0.017
Freese,10.0,655939.0,121307.0,655939.0,121307.0,1.0,1.0,0.047,0.017
Freese,11.0,3020616.0,472254.0,3020616.0,472254.0,1.0,1.0,0.175,0.017
Freese,12.0,13132432.0,1765398.0,13132432.0,1765398.0,1.0,1.0,0.691,0.017
Freese,13.0,60339249.0,7953856.0,60339249.0,7953856.0,1.0,1.0,2.769,0.017
Freese,14.0,263169425.0,33349697.0,263169425.0,33349697.0,1.0,1.0,11.140,0.017
Hunt,1.0,79.0,79.0,79.0,79.0,1.0,1.0,0.015,0.017
Hunt,2.0,107.0,154.0,107.0,154.0,1.0,1.0,0.015,0.017
Hunt,3.0,170.0,336.0,170.0,336.0,1.0,1.0,0.015,0.017
Hunt,4.0,310.0,858.0,310.0,858.0,1.0,1.0,0.015,0.017
Hunt,5.0,704.0,2624.0,704.0,2624.0,1.0,1.0,0.015,0.017
Hunt,6.0,1975.0,8900.0,1975.0,8900.0,1.0,1.0,0.015,0.017
Hunt,7.0,6459.0,30480.0,6459.0,30480.0,1.0,1.0,0.015,0.017
Hunt,8.0,18600.0,71354.0,18600.0,71354.0,1.0,1.0,0.015,0.017
Hunt,9.0,33709.0,146078.0,33709.0,146078.0,1.0,1.0,0.015,0.017
Hunt,10.0,106292.0,515840.0,106292.0,515840.0,1.0,1.0,0.015,0.017
Hunt,11.0,362143.0,2041770.0,362143.0,2041770.0,1.0,1.0,0.015,0.017
Hunt,12.0,1433746.0,8051527.0,1433746.0,8051527.0,1.0,1.0,0.015,0.017
Hunt,13.0,5787087.0,32234324.0,5787087.0,32234324.0,1.0,1.0,0.021,0.044
Hunt,14.0,24506877.0,130523740.0,24506877.0,130523740.0,1.0,1.0,0.056,0.147
Whitman,1.0,8.0,9.0,8.0,9.0,1.0,1.0,0.015,0.017
Whitman,2.0,12.0,16.0,12.0,16.0,1.0,1.0,0.015,0.017
Whitman,3.0,22.0,37.0,22.0,37.0,1.0,1.0,0.015,0.017
Whitman,4.0,50.0,115.0,50.0,115.0,1.0,1.0,0.015,0.017
Whitman,5.0,152.0,417.0,152.0,417.0,1.0,1.0,0.015,0.017
Whitman,6.0,523.0,1578.0,523.0,1578.0,1.0,1.0,0.015,0.017
Whitman,7.0,1949.0,6203.0,1949.0,6203.0,1.0,1.0,0.015,0.017
Whitman,8.0,5652.0,19199.0,5652.0,19199.0,1.0,1.0,0.015,0.017
Whitman,9.0,14285.0,60408.0,14285.0,60408.0,1.0,1.0,0.015,0.017
Whitman,10.0,53903.0,120391.0,53903.0,120391.0,1.0,1.0,0.015,0.017
Whitman,11.0,123821.0,424208.0,123821.0,424208.0,1.0,1.0,0.015,0.017
Whitman,12.0,486337.0,1734801.0,486337.0,1734801.0,1.0,1.0,0.015,0.017
Whitman,13.0,1943801.0,7795290.0,1943801.0,7795290.0,1.0,1.0,0.016,0.017
Whitman,14.0,7894756.0,32162483.0,7894756.0,32162483.0,1.0,1.0,0.021,0.017
